ProvincePCode,DistrictPCode,DistrictName,LocalAuthority,DistrictType,NoOfWards
10,1021,Bulawayo,Bulawayo City Council,Urban District,29
11,1101,Buhera,Buhera RDC,Rural District,33
11,1102,Chimanimani,Chimanimani RDC,Rural District,23
11,1103,Chipinge,Chipinge RDC,Rural District,30
11,1104,Makoni,Makoni RDC,Rural District,39
11,1105,Mutare,Mutare RDC,Rural District,36
11,1106,Mutasa,Mutasa RDC,Rural District,31
11,1107,Nyanga,Nyanga RDC,Rural District,31
11,1121,Mutare Urban,Mutare City Council,Urban District,19
11,1122,Rusape,Rusape Town Council,Urban District,10
11,1123,Chipinge Urban,Chipinge Town Council,Urban District,8
12,1201,Bindura,Bindura RDC,Rural District,21
12,1202,Centenary,Muzarabani RDC,Rural District,29
12,1203,Guruve,Guruve RDC,Rural District,24
12,1204,Mazowe,Mazowe RDC,Rural District,35
12,1205,Mount Darwin,Pfura RDC,Rural District,40
12,1206,Rushinga,Rushinga RDC,Rural District,25
12,1207,Shamva,Chaminuka RDC,Rural District,29
12,1208,Mbire,Mbire RDC,Rural District,17
12,1221,Bindura Urban,Bindura Municipality,Urban District,12
13,1301,Chikomba,Chikomba RDC,Rural District,30
13,1302,Goromonzi,Goromonzi RDC,Rural District,25
13,1303,Hwedza,Hwedza RDC,Rural District,15
13,1304,Marondera,Marondera RDC,Rural District,23
13,1305,Mudzi,Mudzi RDC,Rural District,18
13,1306,Murehwa,Murehwa RDC,Rural District,30
13,1307,Mutoko,Mutoko RDC,Rural District,29
13,1308,Seke,Manyame RDC,Rural District,21
13,1309,Uzumba Maramba Pfungwe,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,17
13,1321,Marondera Urban,Marondera Municipality,Urban District,12
13,1326,Ruwa,Ruwa Local Board,Urban District,9
14,1401,Chegutu,Chegutu RDC,Rural District,29
14,1402,Hurungwe,Hurungwe RDC,Rural District,26
14,1403,Kadoma,Kadoma City Council,Urban District,17
14,1404,Kariba,Nyaminyami RDC,Rural District,12
14,1405,Makonde,Makonde RDC,Rural District,19
14,1406,Zvimba,Zvimba RDC,Rural District,35
14,1421,Chinhoyi,Chinhoyi Municipality,Urban District,15
14,1423,Chegutu Urban,Chegutu Municipality,Urban District,12
14,1424,Kariba Urban,Kariba Municipality,Urban District,9
14,1425,Norton,Norton Town Council,Urban District,13
14,1426,Karoi,Karoi Town Council,Urban District,10
14,1427,Mhondoro-Ngezi,Mhondoro-Ngezi RDC,Rural District,16
14,1428,Sanyati,Sanyati RDC,Rural District,18
15,1501,Binga,Binga RDC,Rural District,25
15,1502,Bubi,Bubi RDC,Rural District,23
15,1503,Hwange,Hwange RDC,Rural District,20
15,1504,Lupane,Kusile RDC,Rural District,28
15,1505,Nkayi,Nkayi RDC,Rural District,30
15,1506,Tsholotsho,Tsholotsho RDC,Rural District,22
15,1507,Umguza,Umguza RDC,Rural District,19
15,1521,Hwange Urban,Hwange Local Board,Urban District,15
15,1522,Victoria Falls,Victoria Falls Municipality,Urban District,11
16,1601,Beitbridge,Beitbridge RDC,Rural District,15
16,1602,Bulilima,Bulilima RDC,Rural District,22
16,1603,Mangwe,Mangwe RDC,Rural District,17
16,1604,Gwanda,Gwanda RDC,Rural District,24
16,1605,Insiza,Insiza RDC,Rural District,23
16,1606,Matobo,Matobo RDC,Rural District,25
16,1607,Umzingwane,Umzingwane RDC,Rural District,20
16,1621,Gwanda Urban,Gwanda Municipality,Urban District,10
16,1622,Beitbridge Urban,Beitbridge Town Council,Urban District,6
16,1623,Plumtree,Plumtree Town Council,Urban District,6
17,1701,Chirumhanzu,Takawira RDC,Rural District,25
17,1702,Gokwe North,Gokwe North RDC,Rural District,36
17,1703,Gokwe South,Gokwe South RDC,Rural District,33
17,1704,Gweru,Vungu RDC,Rural District,19
17,1705,Kwekwe,Zibagwe RDC,Rural District,33
17,1706,Mberengwa,Mberengwa RDC,Rural District,37
17,1707,Shurugwi,Tongogara RDC,Rural District,24
17,1708,Zvishavane,Runde RDC,Rural District,19
17,1721,Gweru Urban,Gweru City Council,Urban District,18
17,1722,Kwekwe Urban,Kwekwe City Council,Urban District,14
17,1723,Redcliff,Redcliff Municipality,Urban District,9
17,1725,Zvishavane Urban,Zvishavane Town Council,Urban District,10
17,1728,Shurugwi Urban,Shurugwi Town Council,Urban District,13
17,1729,Gokwe South Urban,Gokwe Town Council,Urban District,6
18,1801,Bikita,Bikita RDC,Rural District,32
18,1802,Chiredzi,Chiredzi RDC,Rural District,32
18,1803,Chivi,Chivi RDC,Rural District,32
18,1804,Gutu,Gutu RDC,Rural District,41
18,1805,Masvingo,Masvingo RDC,Rural District,35
18,1806,Mwenezi,Mwenezi RDC,Rural District,18
18,1807,Zaka,Zaka RDC,Rural District,34
18,1821,Masvingo Urban,Masvingo Municipality,Urban District,10
18,1822,Chiredzi Urban,Chiredzi Town Council,Urban District,8
19,1921,Harare,Harare City Council,Urban District,46
19,1922,Chitungwiza,Chitungwiza Municipality,Urban District,25
19,1923,Epworth,Epworth Local Board,Urban District,7
